46.4,1,392,0.4,68.5
45.7,1,118,0.61,87.8
45.3,1,44,0.53,115.8
38.6,1,158,0.53,106.8
37.2,1,81,0.53,71.6
35,1,374,0.37,60.2
34,1,187,0.3,118.7
28.3,1,993,0.19,33.7
24.7,1,1723,0.12,27.2
24.7,1,287,0.2,62
24.4,1,970,0.19,24.9
22.7,1,885,0.12,22.9
22.3,1,200,0.53,65.7
21.7,1,575,0.14,21.6
21.6,1,688,0.34,32.4
21.3,1,48,0.69,108.7
21.2,1,572,0.49,38.6
20.8,1,239,0.42,46.7
20.3,1,244,0.48,56.5
18.9,1,472,0.25,44.4
18.8,1,134,0.52,47.4
18.6,1,633,0.19,21.7
18,1,295,0.44,55.7
17.6,1,906,0.24,27.1
17,1,1045,0.16,28.5
16.7,1,775,0.1,41.6
15.9,1,619,0.15,44.6
15.3,1,901,0.05,26.1
15,1,910,0.24,18.7
14.8,1,556,0.22,49.1
